Wall time,Step,Value
1522098925.7977493,0,3.741068124771118
1522100986.8114555,1,3.233245372772217
1522103034.263889,2,3.102375030517578
1522105066.2677393,3,3.0384764671325684
1522107117.4305177,4,2.9948275089263916
1522109193.396634,5,2.9625747203826904
1522111265.3892932,6,2.9448082447052
1522113343.178049,7,2.922772169113159
1522115416.0699043,8,2.900533676147461
1522117481.641406,9,2.8913662433624268
1522119543.7822418,10,2.898970365524292
1522121623.2728803,11,2.9033026695251465
1522123702.5857198,12,2.9127049446105957
1522125770.9272482,13,2.9115121364593506
