Wall time,Step,Value
1522173235.1526282,0,3.664522409439087
1522175717.4730482,1,3.0810039043426514
1522178282.9774208,2,2.9222912788391113
1522180777.7037249,3,2.8314173221588135
1522183141.8958418,4,2.767014741897583
1522185669.5849705,5,2.719748020172119
1522187998.4097683,6,2.6757283210754395
1522190345.1951675,7,2.6500790119171143
1522192562.1427417,8,2.6252493858337402
1522194710.8894718,9,2.5997722148895264
1522196900.9910219,10,2.5896337032318115
1522199101.066213,11,2.5864131450653076
1522201286.8089557,12,2.5897457599639893
